Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,2_Star_Rating,3_Star_Rating,5_Star_Rating,Organic Search Rank,online_cost_per_impression,4_Star_Rating,average_rating,num_unique_Search_Terms,total_clicks,num_unique_campaigns,total_cost,Online_Impressions,Segment_Makeup,Online_Clicks,Online_Cost,video_cost_per_impression,Units_sold>1000
2911.0,20.20183486,85,123,7,5,57.0,36.0,53,523,10.0,0.017483804891465324,100,4.3,0.0,960.0,2,2892.363327,165430,True,960.0,2892.363327,0.0,0
1923.0,35.86810229,152,186,10,11,44.0,37.0,92,1640,3.0,0.0,230,4.7,5.0,10309.0,0,111171.56,0,True,0.0,0.0,0.012052667150486772,0
3931.0,22.40683962,67,125,11,1,0.0,16.0,48,335,32.0,0.0,68,4.5,3.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2897.0,13.08935686,119,209,11,2,71.0,60.0,138,1459,21.0,0.0,267,4.5,0.0,5379.0,0,61559.15,0,True,0.0,0.0,0.009999826186456125,1
2729.0,18.10104012,115,209,2,9,165.0,118.0,341,4391,3.0,0.0,673,4.6,8.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
3057.0,27.59696728,67,125,11,12,35.0,14.0,30,0,19.0,0.025957445281089373,0,1.9,0.0,963.0,4,4822.763546,185794,True,963.0,4822.763546,0.0,1
2862.0,18.50673575,82,105,0,4,24.0,21.0,54,501,3.0,0.0,91,4.5,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2613.0,21.36165803,122,209,14,1,55.0,36.0,82,1163,15.0,0.0,188,4.6,7.0,5379.0,0,61559.15,0,True,0.0,0.0,0.009999826186456125,0
3688.0,25.84187568,85,59,9,3,0.0,0.0,25,403,32.0,0.01568866912527069,66,4.8,3.0,4260.0,2,42635.076288,152389,False,781.0,2390.796288,0.01043443224601899,0
1282.831555,21.64085667,113,166,13,2,0.0,0.0,0,0,14.0,0.0,0,0.0,6.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
3862.0,23.41770934,77,98,0,12,23.0,18.0,49,442,19.0,0.03165025627687658,89,4.5,3.0,1191.0,2,4879.741562,154176,True,1191.0,4879.741562,0.0,1
3701.0,35.47330097,126,221,9,8,66.0,38.0,69,202,19.0,0.021621015297486553,75,3.7,4.0,880.0,4,3729.884591,172511,True,880.0,3729.884591,0.0,1
4494.0,31.41728395,75,164,0,11,90.0,60.0,152,1652,12.0,0.02263010795002995,294,4.5,0.0,1149.0,4,5780.476364,255432,True,1149.0,5780.476364,0.0,1
3461.0,24.27070064,70,86,0,8,0.0,0.0,0,0,19.0,0.0,0,0.0,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
3672.0,23.49469965,137,209,13,3,21.0,13.0,45,742,27.0,0.0,92,4.7,11.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
3602.0,26.04628099,113,209,10,9,74.0,46.0,127,978,3.0,0.0,185,4.4,1.0,10801.0,0,118307.34,0,True,0.0,0.0,0.011841985070015021,1
2059.0,32.73836608,126,221,9,12,66.0,38.0,69,202,3.0,0.03055723131599066,75,3.7,0.0,596.0,2,2957.756648,96793,True,596.0,2957.756648,0.0,0
4149.0,13.64927769,88,64,9,4,35.0,28.0,80,1037,18.0,0.0,167,4.6,6.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
2598.0,38.004656739999994,93,61,11,9,64.0,48.0,86,1493,3.0,0.017616990701805068,222,4.6,2.0,574.0,4,1646.466334,93458,False,574.0,1646.466334,0.0,0
2897.0,17.77946493,151,157,10,6,118.0,80.0,198,2327,40.0,0.03321633318471049,390,4.5,3.0,1063.0,4,6593.076757500001,198488,False,1063.0,6593.076757500001,0.0,1
273.0,21.28395062,153,186,9,4,81.0,56.0,149,1993,24.0,0.0,299,4.6,8.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
1543.0,10.6642269,122,209,14,7,78.0,56.0,142,1744,18.0,0.0,283,4.5,3.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
2188.0,26.92125318,79,58,5,12,0.0,0.0,0,0,28.0,0.025375627312631502,0,0.0,0.0,777.0,4,4197.027255,165395,True,777.0,4197.027255,0.0,1
5793.0,22.15854823,167,158,0,11,94.0,64.0,237,2833,7.0,0.024239860439289242,460,4.6,13.0,940.0,2,3928.79658,162079,False,940.0,3928.79658,0.0,1
4313.0,19.16666667,75,177,0,4,109.0,78.0,244,3359,9.0,0.0,517,4.6,9.0,4791.0,0,56344.76,0,False,0.0,0.0,0.010541854962766111,0
1243.0,16.51253761,165,158,0,3,29.0,24.0,88,1221,3.0,0.0,200,4.6,4.0,3479.0,0,40244.28,0,False,0.0,0.0,0.01043443224601899,0
4284.0,21.5853222,79,99,0,3,0.0,11.0,20,421,3.0,0.013738020874969675,74,4.7,0.0,6868.0,4,79419.218602,173125,True,844.0,2378.408602,0.010217988085505517,1
4352.0,20.80619684,127,221,7,4,0.0,0.0,0,0,33.0,0.03546274189769621,0,0.0,0.0,6922.0,4,80582.793198,99878,True,773.0,3541.983198,0.010217988085505517,1
5416.0,38.004656739999994,173,158,0,10,60.0,47.0,129,571,17.0,0.019013041919464537,185,4.2,2.0,1467.0,5,5283.534219,277889,False,1467.0,5283.534219,0.0,0
4145.0,15.90843547,126,221,9,9,0.0,0.0,0,0,16.0,0.0,0,0.0,0.0,10579.0,0,111171.56,0,True,0.0,0.0,0.012052667150486772,1
886.0,38.004656739999994,139,123,16,8,134.0,92.0,252,3622,33.0,0.0,526,4.6,11.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
3818.0,16.56575463,113,209,13,5,43.0,29.0,76,1515,3.0,0.0,205,4.7,1.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
3434.0,22.26057299,161,158,0,4,56.0,45.0,140,2466,25.0,0.0,333,4.7,1.0,3479.0,0,40244.28,0,False,0.0,0.0,0.01043443224601899,1
1956.0,14.28264331,81,57,5,8,114.0,78.0,228,3218,28.0,0.022509870161495336,467,4.6,11.0,829.0,4,5047.095558,224216,True,829.0,5047.095558,0.0,1
3496.0,34.16363636,137,123,16,2,14.0,10.0,37,483,17.0,0.011536898690783342,72,4.6,0.0,1962.5,4,3849.989999,333710,True,1962.5,3849.989999,0.0,1
4034.0,27.89101498,113,209,10,9,71.0,46.0,124,966,39.0,0.02469847097443509,179,4.4,2.0,11444.0,2,114433.141283,132055,True,865.0,3261.581283,0.012052667150486772,1
3308.0,26.21381268,85,59,9,8,0.0,0.0,25,403,42.0,0.0,66,4.8,3.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
3232.0,18.03503788,127,221,8,6,89.0,63.0,181,1139,39.0,0.0,269,4.3,2.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
4645.0,14.51068091,151,157,10,2,118.0,80.0,196,2327,22.0,0.019573659113151388,390,4.5,0.0,5980.0,4,63499.193223,99114,False,601.0,1940.043223,0.009999826186456125,1
1544.185262,23.41556728,70,127,11,8,0.0,0.0,0,0,34.0,0.014530709322183616,0,0.0,0.0,7175.0,4,79014.7778,135847,False,800.0,1973.9678,0.010217988085505517,0
5679.0,19.81441544,127,221,7,2,0.0,0.0,0,0,33.0,0.024265882128227115,0,0.0,0.0,6444.0,2,64106.339647,104969,True,1065.0,2547.189647,0.009999826186456125,1
1646.0,18.34538653,79,58,5,2,0.0,0.0,0,0,19.0,0.0,0,0.0,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
3449.0,24.28351648,70,148,11,5,87.0,58.0,172,2625,31.0,0.019756845766246846,390,4.6,6.0,1931.0,5,6593.076757500001,333710,False,1931.0,6593.076757500001,0.0,1
4547.0,15.22872661,80,104,0,11,21.0,18.0,40,365,3.0,0.033547684847857584,63,4.4,0.0,6507.0,4,66571.301848,77295,True,763.0,2593.101848,0.009701795595400388,1
4747.0,26.48141746,87,57,4,2,0.0,0.0,0,0,18.0,0.008999480175960636,0,0.0,0.0,1962.5,2,3003.225529,333710,False,1962.5,3003.225529,0.0,1
4345.0,23.8989899,125,221,7,3,0.0,0.0,0,0,36.0,0.0,0,0.0,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
4513.0,22.08933934,161,158,0,2,56.0,45.0,140,2466,31.0,0.0,333,4.7,2.0,5379.0,0,61559.15,0,False,0.0,0.0,0.009999826186456125,1
3938.0,17.46321923,118,209,8,11,74.0,52.0,125,1848,6.0,0.0,291,4.6,3.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
3449.0,15.88139724,91,62,4,10,71.0,41.0,90,1048,30.0,0.0,184,4.5,6.0,8049.0,0,96500.0,0,True,0.0,0.0,0.013017499566308176,1
1129.0,17.76502146,165,158,0,6,29.0,24.0,88,1221,27.0,0.015073237787606455,200,4.6,3.0,425.0,2,961.0545681,63758,False,425.0,961.0545681,0.0,0
3900.0,23.82300885,118,209,12,4,50.0,38.0,110,1629,3.0,0.0,230,4.6,5.0,4330.0,0,56344.76,0,True,0.0,0.0,0.010541854962766111,1
2608.0,21.83379888,81,108,0,3,28.0,10.0,45,614,5.0,0.015074693269700424,80,4.6,1.0,1081.0,2,2962.840514,196543,True,1081.0,2962.840514,0.0,0
2213.0,14.32729211,113,209,12,9,19.0,14.0,34,442,18.0,0.020224800935408984,68,4.6,1.0,12426.0,4,122454.31408299999,205043,True,1123.0,4146.974083,0.011841985070015021,0
909.0,18.88315217,81,104,0,3,60.0,44.0,126,1633,13.0,0.0,270,4.6,7.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
4502.0,15.57735247,84,62,7,3,34.0,17.0,84,1144,12.0,0.0,141,4.7,4.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
5554.0,23.84141791,81,108,0,4,80.0,66.0,167,2218,20.0,0.0,349,4.6,6.0,4791.0,0,56344.76,0,True,0.0,0.0,0.010541854962766111,1
4287.0,31.47488584,152,186,10,6,97.0,77.0,201,2847,13.0,0.019756845766246846,437,4.6,6.0,1496.0,5,6593.076757500001,333710,True,1496.0,6593.076757500001,0.0,0
