iter	Passed	Remaining
372	2090	3514
373	2097	3511
374	2102	3504
375	2107	3496
376	2112	3490
377	2116	3482
378	2120	3474
379	2125	3467
380	2130	3461
381	2134	3453
382	2138	3445
383	2142	3437
384	2146	3429
385	2150	3421
386	2155	3413
387	2158	3405
388	2162	3397
389	2166	3388
390	2170	3381
391	2174	3372
392	2178	3365
393	2182	3356
394	2186	3349
395	2191	3342
396	2195	3334
397	2199	3326
398	2203	3318
399	2207	3311
400	2211	3303
401	2215	3295
402	2220	3289
403	2225	3283
404	2230	3276
405	2234	3269
406	2238	3262
407	2243	3254
408	2247	3247
409	2251	3240
410	2258	3236
411	2262	3229
412	2267	3222
413	2271	3215
414	2276	3208
415	2281	3202
416	2286	3196
417	2291	3190
418	2295	3182
419	2299	3175
420	2303	3168
421	2308	3161
422	2313	3155
423	2318	3149
424	2323	3143
425	2327	3135
426	2331	3128
427	2335	3121
428	2339	3113
429	2344	3107
430	2350	3102
431	2354	3096
432	2358	3089
433	2363	3082
434	2367	3074
435	2371	3067
436	2376	3061
437	2381	3056
438	2386	3050
439	2391	3043
440	2395	3036
441	2399	3029
442	2403	3022
443	2408	3016
444	2413	3010
445	2418	3004
446	2423	2998
447	2427	2991
448	2432	2984
449	2436	2977
450	2441	2971
451	2446	2966
452	2451	2960
453	2456	2954
454	2461	2948
455	2466	2942
456	2476	2942
457	2483	2938
458	2489	2934
459	2495	2929
460	2500	2924
461	2506	2919
462	2514	2916
463	2521	2912
464	2528	2908
465	2534	2904
466	2541	2900
467	2548	2896
468	2554	2892
469	2561	2887
470	2567	2883
471	2573	2879
472	2585	2880
473	2591	2876
474	2596	2870
475	2602	2864
476	2607	2858
477	2613	2853
478	2618	2848
479	2623	2842
480	2628	2836
481	2634	2830
482	2639	2824
483	2644	2819
484	2649	2813
485	2654	2806
486	2659	2801
487	2664	2795
488	2669	2789
489	2676	2785
490	2680	2778
491	2685	2773
492	2691	2767
493	2696	2761
494	2700	2755
495	2706	2749
496	2711	2743
497	2716	2738
498	2722	2733
499	2728	2728
500	2733	2722
501	2738	2716
502	2744	2711
503	2749	2705
504	2754	2700
505	2761	2695
506	2766	2690
507	2771	2684
508	2775	2677
509	2780	2671
510	2786	2666
511	2791	2660
512	2796	2655
513	2801	2649
514	2806	2643
515	2811	2636
516	2816	2631
517	2821	2625
518	2827	2620
519	2832	2614
520	2838	2609
521	2844	2604
522	2849	2599
523	2856	2594
524	2862	2589
525	2867	2584
526	2873	2578
527	2878	2573
528	2884	2568
529	2890	2563
530	2896	2558
531	2901	2552
532	2907	2547
533	2912	2541
534	2917	2535
535	2923	2530
536	2928	2524
537	2935	2520
538	2940	2515
539	2946	2509
540	2952	2504
541	2957	2499
542	2964	2494
543	2970	2490
544	2976	2484
545	2981	2479
546	2987	2474
547	2994	2470
548	3001	2465
549	3006	2459
550	3012	2454
551	3018	2450
552	3025	2445
553	3032	2441
554	3038	2435
555	3043	2430
556	3048	2424
557	3054	2419
558	3059	2414
559	3065	2408
560	3069	2402
561	3074	2396
562	3080	2391
563	3086	2386
564	3091	2380
565	3096	2374
566	3101	2368
567	3106	2362
568	3112	2357
569	3118	2352
570	3123	2346
571	3128	2341
572	3133	2335
573	3138	2329
574	3143	2323
575	3148	2317
576	3153	2312
577	3158	2306
578	3163	2300
579	3168	2294
580	3173	2288
581	3178	2282
582	3183	2276
583	3188	2271
584	3193	2265
585	3198	2259
586	3203	2253
587	3209	2248
588	3215	2243
589	3220	2238
590	3226	2232
591	3230	2226
592	3235	2220
593	3240	2215
594	3245	2209
595	3252	2204
596	3256	2198
597	3262	2193
598	3267	2187
599	3272	2181
600	3277	2175
601	3282	2170
602	3287	2164
603	3292	2158
604	3297	2152
605	3302	2147
606	3307	2141
607	3311	2135
608	3317	2129
609	3322	2124
610	3327	2118
611	3332	2112
612	3337	2106
613	3341	2100
614	3347	2095
615	3351	2089
616	3357	2084
617	3362	2078
618	3366	2072
619	3371	2066
620	3376	2060
621	3382	2055
622	3387	2049
623	3391	2043
624	3396	2037
625	3401	2032
626	3405	2026
627	3412	2021
628	3416	2015
629	3422	2009
630	3426	2003
631	3431	1998
632	3437	1992
633	3442	1987
634	3448	1982
635	3453	1976
636	3458	1970
637	3462	1964
638	3468	1959
639	3472	1953
640	3478	1948
641	3483	1942
642	3487	1936
643	3491	1930
644	3496	1924
645	3501	1918
646	3506	1913
647	3511	1907
648	3516	1901
649	3521	1896
650	3526	1890
651	3531	1884
652	3535	1878
653	3539	1872
654	3544	1866
655	3549	1861
656	3555	1856
657	3560	1850
658	3566	1845
659	3571	1839
660	3576	1834
661	3581	1828
662	3586	1823
663	3591	1817
664	3595	1811
665	3600	1805
666	3605	1800
667	3611	1794
668	3617	1789
669	3622	1784
670	3627	1778
671	3631	1772
672	3636	1766
673	3641	1761
674	3647	1756
675	3651	1750
676	3656	1744
677	3661	1738
678	3665	1732
679	3670	1727
680	3675	1721
681	3680	1715
682	3686	1710
683	3691	1705
684	3695	1699
685	3699	1693
686	3704	1687
687	3709	1682
688	3714	1676
689	3719	1670
690	3723	1665
691	3727	1659
692	3733	1653
693	3738	1648
694	3743	1642
695	3748	1637
696	3753	1631
697	3758	1626
698	3763	1620
699	3767	1614
700	3772	1608
701	3776	1602
702	3781	1597
703	3787	1592
704	3792	1587
705	3799	1582
706	3804	1576
707	3809	1571
708	3815	1565
709	3820	1560
710	3827	1555
711	3831	1550
712	3836	1544
713	3841	1538
714	3845	1532
715	3849	1527
716	3853	1521
717	3858	1515
718	3862	1509
719	3867	1503
720	3871	1497
721	3875	1492
722	3879	1486
723	3884	1480
724	3888	1474
725	3892	1469
726	3896	1463
727	3901	1457
728	3904	1451
729	3909	1445
730	3913	1439
731	3917	1434
732	3921	1428
733	3925	1422
734	3929	1416
735	3933	1410
736	3937	1405
737	3941	1399
738	3945	1393
739	3950	1387
740	3954	1382
741	3958	1376
742	3962	1370
743	3966	1364
744	3971	1359
745	3976	1353
746	3980	1348
747	3984	1342
748	3989	1336
749	3993	1331
750	3999	1326
751	4004	1320
752	4009	1315
753	4014	1309
754	4018	1303
755	4022	1298
756	4026	1292
757	4030	1286
758	4035	1281
759	4042	1276
760	4047	1271
761	4053	1265
762	4057	1260
763	4061	1254
764	4066	1249
765	4072	1244
766	4077	1238
767	4081	1233
768	4086	1227
769	4090	1221
770	4094	1216
771	4099	1210
772	4103	1205
773	4108	1199
774	4112	1194
775	4117	1188
776	4120	1182
777	4125	1177
778	4129	1171
779	4133	1165
780	4138	1160
781	4142	1154
782	4146	1149
783	4150	1143
784	4154	1137
785	4158	1132
786	4162	1126
787	4166	1121
788	4170	1115
789	4174	1109
790	4178	1104
791	4182	1098
792	4186	1092
793	4190	1087
794	4194	1081
795	4198	1076
796	4202	1070
797	4206	1064
798	4211	1059
799	4215	1053
800	4219	1048
801	4224	1042
802	4228	1037
803	4233	1031
804	4237	1026
805	4241	1020
806	4245	1015
807	4249	1009
808	4253	1004
809	4257	998
810	4262	993
811	4266	987
812	4270	982
813	4274	976
814	4278	971
815	4282	965
816	4287	960
817	4291	954
818	4295	949
819	4300	943
820	4304	938
821	4308	932
822	4312	927
823	4317	922
824	4321	916
825	4325	911
826	4329	905
827	4333	900
828	4337	894
829	4341	889
830	4346	883
831	4350	878
832	4354	872
833	4358	867
834	4362	862
835	4368	856
836	4372	851
837	4376	846
838	4381	840
839	4385	835
840	4390	830
841	4396	825
842	4401	819
843	4406	814
844	4411	809
845	4416	803
846	4420	798
847	4424	793
848	4428	787
849	4433	782
850	4438	777
851	4443	771
852	4446	766
853	4451	760
854	4454	755
855	4458	750
856	4462	744
857	4467	739
858	4471	733
859	4475	728
860	4478	723
861	4483	717
862	4487	712
863	4491	706
864	4495	701
865	4499	696
866	4503	690
867	4507	685
868	4511	680
869	4515	674
870	4519	669
871	4523	664
872	4528	658
873	4532	653
874	4536	648
875	4540	642
876	4545	637
877	4549	632
878	4553	626
879	4557	621
880	4562	616
881	4566	610
882	4570	605
883	4574	600
884	4578	594
885	4582	589
886	4587	584
887	4591	579
888	4595	573
889	4599	568
890	4603	563
891	4607	557
892	4612	552
893	4616	547
894	4620	542
895	4625	536
896	4630	531
897	4634	526
898	4638	521
899	4643	515
900	4649	510
901	4654	505
902	4659	500
903	4663	495
904	4667	489
905	4672	484
906	4676	479
907	4681	474
908	4686	469
909	4692	464
910	4697	458
911	4703	453
912	4707	448
913	4712	443
914	4717	438
915	4723	433
916	4729	428
917	4734	422
918	4739	417
919	4744	412
920	4748	407
921	4753	402
922	4757	396
923	4762	391
924	4767	386
925	4772	381
926	4777	376
927	4781	371
928	4788	365
929	4792	360
930	4796	355
931	4800	350
932	4805	345
933	4809	339
934	4814	334
935	4820	329
936	4826	324
937	4830	319
938	4835	314
939	4839	308
940	4844	303
941	4849	298
942	4855	293
943	4860	288
944	4865	283
945	4869	277
946	4874	272
947	4879	267
948	4885	262
949	4890	257
950	4894	252
951	4899	247
952	4903	241
953	4908	236
954	4913	231
955	4919	226
956	4925	221
957	4929	216
958	4933	210
959	4937	205
960	4942	200
961	4948	195
962	4953	190
963	4959	185
964	4964	180
965	4968	174
966	4973	169
967	4978	164
968	4984	159
969	4988	154
970	4992	149
971	4996	143
972	5000	138
973	5004	133
974	5009	128
975	5014	123
976	5019	118
977	5023	113
978	5028	107
979	5032	102
980	5036	97
981	5040	92
982	5045	87
983	5050	82
984	5054	76
985	5058	71
986	5062	66
987	5066	61
988	5070	56
989	5074	51
990	5078	46
991	5083	40
992	5087	35
993	5090	30
994	5094	25
995	5098	20
996	5102	15
997	5106	10
998	5111	5
999	5115	0
