iter	Logloss
0	0.6817571587
1	0.6698125022
2	0.6581200663
3	0.6469998743
4	0.6370180967
5	0.6283157104
6	0.619634313
7	0.6116808999
8	0.6039073257
9	0.5965120817
10	0.5898877784
11	0.5836274889
12	0.5767164975
13	0.5707236924
14	0.5656376054
15	0.5599221361
16	0.5555659879
17	0.5513654179
18	0.5471155128
19	0.5426521121
20	0.5389212556
21	0.5355610887
22	0.5322896882
23	0.5287381036
24	0.5259111503
25	0.5232526788
26	0.5200032892
27	0.5169160898
28	0.5140928487
29	0.5118142206
30	0.5092379183
31	0.5072730163
32	0.5047751739
33	0.5027440015
34	0.5011031886
35	0.4988330958
36	0.4969360413
37	0.4950264604
38	0.4931898486
39	0.4918948546
40	0.4900035668
41	0.4881089087
42	0.4863436016
43	0.484733287
44	0.4830397635
45	0.4817492524
46	0.480530426
47	0.4785825363
48	0.4767284309
49	0.4754008633
50	0.4738313705
51	0.4724689339
52	0.4712389406
53	0.4701412063
54	0.4691297888
55	0.468020789
56	0.4670578113
57	0.4659412691
58	0.4650975441
59	0.4639811025
60	0.4630428341
61	0.4621184602
62	0.4611415327
63	0.4603400715
64	0.4595795376
65	0.458435745
66	0.4574710893
67	0.4563632135
68	0.4548294213
69	0.4539342323
70	0.4531064958
71	0.4522671245
72	0.4515563304
73	0.4503414159
74	0.4496405372
75	0.4489846809
76	0.4479821231
77	0.4471342665
78	0.4465920877
79	0.4453987125
80	0.4448161673
81	0.4439912598
82	0.4432418637
83	0.4423000955
84	0.4417081846
85	0.4411820992
86	0.4405826498
87	0.4398523474
88	0.4391136713
89	0.4382922474
90	0.4376958202
91	0.437123907
92	0.4362529973
93	0.4356877378
94	0.4351233806
95	0.4347785133
96	0.4342429988
97	0.4336682567
98	0.4329817582
99	0.4326118299
100	0.4317497559
101	0.431117415
102	0.430486675
103	0.4300165985
104	0.4295634918
105	0.428704078
106	0.4278926355
107	0.4274998962
108	0.4270557598
109	0.426535317
110	0.4260236562
111	0.4254321037
112	0.4245029502
113	0.4239681968
114	0.4232898233
115	0.4228782925
116	0.4224454397
117	0.4217963797
118	0.4210537414
119	0.4205926501
120	0.4200859551
121	0.4195212806
122	0.4188845147
123	0.4183258322
124	0.4177816311
125	0.4174452722
126	0.4167945253
127	0.4163983665
128	0.4159085146
129	0.4154752809
130	0.4150881053
131	0.4146110483
132	0.4139797149
133	0.4136672954
134	0.4131382428
135	0.412766418
136	0.4123257811
137	0.4117545025
138	0.4109706531
139	0.4106522515
140	0.4100951993
141	0.4097096779
142	0.4093487273
143	0.4089072903
144	0.4086115567
145	0.4081652605
146	0.4075368995
147	0.4070663419
148	0.4064267686
149	0.4059111951
150	0.4054240812
151	0.4045694261
152	0.4038112546
153	0.4034961375
154	0.4031408473
155	0.4028914565
156	0.4025154756
157	0.402286846
158	0.4017271843
159	0.4013971132
160	0.4011167346
161	0.4008714346
162	0.4002884025
163	0.3998196505
164	0.3993025231
165	0.3989138872
166	0.3985251343
167	0.3978205008
168	0.3971015972
169	0.3965378072
170	0.395996277
171	0.395583411
172	0.3950895067
173	0.3944453597
174	0.3941353913
175	0.3937440099
176	0.3934769191
177	0.3930596411
178	0.3926575125
179	0.3924073334
180	0.3921839419
181	0.3917707073
182	0.3914883743
183	0.3910283905
184	0.390796161
185	0.3903672109
186	0.3901100482
187	0.3898989248
188	0.3896407865
189	0.3894752409
190	0.389184915
191	0.389002095
192	0.3887785461
193	0.3882651305
194	0.3879925023
195	0.38774292
196	0.3873936382
197	0.3871400239
198	0.386803936
199	0.3865225778
200	0.386025349
201	0.3854431907
202	0.3850354073
203	0.3845850581
204	0.3839646142
205	0.3833274984
206	0.3830394104
207	0.3824461578
208	0.3820276051
209	0.381817848
210	0.3815231789
211	0.3811013785
212	0.380790739
213	0.3803632013
214	0.3799558455
215	0.3796471646
216	0.3792739202
217	0.3788060316
218	0.3784661253
219	0.3780470418
220	0.3774655411
221	0.3771941479
222	0.3769125643
223	0.3764083115
224	0.3760196482
225	0.3756469533
226	0.3752926308
227	0.3748502068
228	0.3744990928
229	0.3741706505
230	0.3738713191
231	0.3734757983
232	0.3733648097
233	0.3731241123
234	0.37283446
235	0.3724988712
236	0.3722594556
237	0.3719293496
238	0.371699959
239	0.3713559648
240	0.371000125
241	0.3707512801
242	0.3704674871
243	0.3702013528
244	0.3699128326
245	0.3697479279
246	0.3695375346
247	0.3691531377
248	0.3689798416
249	0.3688109988
250	0.3684645608
251	0.3682645518
252	0.3678297195
253	0.3674947946
254	0.3673421116
255	0.3669990123
256	0.3666567159
257	0.3663422446
258	0.3658201039
259	0.3655543745
260	0.3652005133
261	0.3649824957
262	0.3647510994
263	0.3645134046
264	0.3640301226
265	0.36373968
266	0.3634166595
267	0.3630135751
